bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
38.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,4648.0,4368.0,280.0,36.598240469208214,94.27609427609427,57.677853806886056,15.6
39.0,122.0,122.0,0.0,100.0,0.0,4770.0,4490.0,280.0,37.620444072056976,94.27609427609427,56.65565020403729,16.035714285714285
40.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,4893.0,4612.0,281.0,38.64264767490574,94.61279461279462,55.97014693788888,16.412811387900355
41.0,122.0,122.0,0.0,100.0,0.0,5015.0,4734.0,281.0,39.6648512777545,94.61279461279462,54.947943335040115,16.846975088967973
42.0,122.0,122.0,0.0,100.0,0.0,5137.0,4856.0,281.0,40.68705488060327,94.61279461279462,53.925739732191346,17.281138790035588
43.0,123.0,121.0,2.0,98.3739837398374,1.6260162601626007,5260.0,4977.0,283.0,41.7008797653959,95.28619528619528,53.585315520799384,17.586572438162545
44.0,122.0,122.0,0.0,100.0,0.0,5382.0,5099.0,283.0,42.72308336824466,95.28619528619528,52.56311191795062,18.01766784452297
45.0,122.0,122.0,0.0,100.0,0.0,5504.0,5221.0,283.0,43.74528697109342,95.28619528619528,51.54090831510186,18.448763250883392
46.0,123.0,123.0,0.0,100.0,0.0,5627.0,5344.0,283.0,44.775869291998326,95.28619528619528,50.510325994196954,18.88339222614841
47.0,122.0,122.0,0.0,100.0,0.0,5749.0,5466.0,283.0,45.79807289484709,95.28619528619528,49.48812239134819,19.314487632508833
48.0,122.0,122.0,0.0,100.0,0.0,5871.0,5588.0,283.0,46.82027649769585,95.28619528619528,48.46591878849943,19.74558303886926
49.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,5994.0,5710.0,284.0,47.84248010054462,95.62289562289563,47.78041552235101,20.1056338028169
50.0,122.0,122.0,0.0,100.0,0.0,6116.0,5832.0,284.0,48.86468370339338,95.62289562289563,46.758211919502244,20.535211267605632
51.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,6238.0,5953.0,285.0,49.87850858818601,95.95959595959596,46.08108737140995,20.887719298245614
52.0,123.0,123.0,0.0,100.0,0.0,6361.0,6076.0,285.0,50.90909090909091,95.95959595959596,45.05050505050505,21.319298245614036
53.0,122.0,122.0,0.0,100.0,0.0,6483.0,6198.0,285.0,51.931294511939676,95.95959595959596,44.02830144765628,21.74736842105263
54.0,122.0,122.0,0.0,100.0,0.0,6605.0,6320.0,285.0,52.95349811478844,95.95959595959596,43.00609784480752,22.17543859649123
55.0,123.0,120.0,3.0,97.5609756097561,2.439024390243901,6728.0,6440.0,288.0,53.95894428152493,96.96969696969697,43.01075268817204,22.36111111111111
56.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,6850.0,6561.0,289.0,54.972769166317555,97.3063973063973,42.333628140079746,22.70242214532872
57.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,6972.0,6682.0,290.0,55.98659405111018,97.64309764309765,41.656503591987466,23.041379310344826
58.0,123.0,123.0,0.0,100.0,0.0,7095.0,6805.0,290.0,57.01717637201508,97.64309764309765,40.62592127108257,23.46551724137931
59.0,122.0,122.0,0.0,100.0,0.0,7217.0,6927.0,290.0,58.03937997486385,97.64309764309765,39.6037176682338,23.886206896551723
60.0,122.0,122.0,0.0,100.0,0.0,7339.0,7049.0,290.0,59.06158357771261,97.64309764309765,38.581514065385036,24.306896551724137
61.0,123.0,123.0,0.0,100.0,0.0,7462.0,7172.0,290.0,60.09216589861751,97.64309764309765,37.55093174448014,24.73103448275862
62.0,122.0,122.0,0.0,100.0,0.0,7584.0,7294.0,290.0,61.11436950146628,97.64309764309765,36.52872814163137,25.151724137931033
63.0,122.0,122.0,0.0,100.0,0.0,7706.0,7416.0,290.0,62.13657310431504,97.64309764309765,35.50652453878261,25.572413793103447
64.0,122.0,122.0,0.0,100.0,0.0,7828.0,7538.0,290.0,63.1587767071638,97.64309764309765,34.484320935933845,25.99310344827586
65.0,123.0,123.0,0.0,100.0,0.0,7951.0,7661.0,290.0,64.18935902806871,97.64309764309765,33.45373861502894,26.417241379310344
66.0,122.0,122.0,0.0,100.0,0.0,8073.0,7783.0,290.0,65.21156263091747,97.64309764309765,32.43153501218018,26.837931034482757
67.0,122.0,122.0,0.0,100.0,0.0,8195.0,7905.0,290.0,66.23376623376623,97.64309764309765,31.409331409331415,27.25862068965517
68.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,8318.0,8027.0,291.0,67.255969836615,97.97979797979798,30.723828143182985,27.584192439862544
69.0,122.0,122.0,0.0,100.0,0.0,8440.0,8149.0,291.0,68.27817343946376,97.97979797979798,29.701624540334223,28.00343642611684
70.0,122.0,122.0,0.0,100.0,0.0,8562.0,8271.0,291.0,69.30037704231253,97.97979797979798,28.679420937485446,28.422680412371133
71.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,8685.0,8393.0,292.0,70.3225806451613,98.31649831649831,27.993917671337016,28.743150684931507
72.0,122.0,122.0,0.0,100.0,0.0,8807.0,8515.0,292.0,71.34478424801006,98.31649831649831,26.971714068488254,29.160958904109588
73.0,122.0,122.0,0.0,100.0,0.0,8929.0,8637.0,292.0,72.36698785085882,98.31649831649831,25.94951046563949,29.578767123287673
74.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,9052.0,8759.0,293.0,73.38919145370758,98.65319865319866,25.264007199491076,29.89419795221843
75.0,122.0,122.0,0.0,100.0,0.0,9174.0,8881.0,293.0,74.41139505655634,98.65319865319866,24.241803596642313,30.31058020477816
76.0,122.0,122.0,0.0,100.0,0.0,9296.0,9003.0,293.0,75.4335986594051,98.65319865319866,23.21959999379355,30.726962457337883
77.0,123.0,123.0,0.0,100.0,0.0,9419.0,9126.0,293.0,76.46418098031002,98.65319865319866,22.18901767288864,31.146757679180887
78.0,122.0,122.0,0.0,100.0,0.0,9541.0,9248.0,293.0,77.48638458315878,98.65319865319866,21.166814070039877,31.563139931740615
79.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,9663.0,9369.0,294.0,78.50020946795141,98.98989898989899,20.489689521947582,31.867346938775512
80.0,123.0,123.0,0.0,100.0,0.0,9786.0,9492.0,294.0,79.5307917888563,98.98989898989899,19.459107201042684,32.285714285714285
81.0,122.0,122.0,0.0,100.0,0.0,9908.0,9614.0,294.0,80.55299539170507,98.98989898989899,18.436903598193922,32.70068027210884
82.0,122.0,122.0,0.0,100.0,0.0,10030.0,9736.0,294.0,81.57519899455383,98.98989898989899,17.41469999534516,33.1156462585034
83.0,123.0,123.0,0.0,100.0,0.0,10153.0,9859.0,294.0,82.60578131545873,98.98989898989899,16.38411767444026,33.534013605442176
84.0,122.0,122.0,0.0,100.0,0.0,10275.0,9981.0,294.0,83.6279849183075,98.98989898989899,15.361914071591485,33.94897959183673
85.0,122.0,122.0,0.0,100.0,0.0,10397.0,10103.0,294.0,84.65018852115627,98.98989898989899,14.339710468742723,34.363945578231295
86.0,123.0,123.0,0.0,100.0,0.0,10520.0,10226.0,294.0,85.68077084206116,98.98989898989899,13.309128147837825,34.78231292517007
87.0,122.0,122.0,0.0,100.0,0.0,10642.0,10348.0,294.0,86.70297444490993,98.98989898989899,12.286924544989063,35.197278911564624
88.0,122.0,122.0,0.0,100.0,0.0,10764.0,10470.0,294.0,87.72517804775869,98.98989898989899,11.2647209421403,35.61224489795919
89.0,122.0,122.0,0.0,100.0,0.0,10886.0,10592.0,294.0,88.74738165060745,98.98989898989899,10.242517339291538,36.02721088435374
90.0,123.0,123.0,0.0,100.0,0.0,11009.0,10715.0,294.0,89.77796397151236,98.98989898989899,9.211935018386626,36.445578231292515
91.0,122.0,122.0,0.0,100.0,0.0,11131.0,10837.0,294.0,90.80016757436113,98.98989898989899,8.189731415537864,36.86054421768708
92.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,11253.0,10958.0,295.0,91.81399245915375,99.32659932659932,7.5126068674455695,37.14576271186441
93.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,11376.0,11080.0,296.0,92.83619606200251,99.66329966329967,6.8271036012971535,37.432432432432435
94.0,122.0,122.0,0.0,100.0,0.0,11498.0,11202.0,296.0,93.85839966485128,99.66329966329967,5.804899998448391,37.8445945945946
95.0,122.0,122.0,0.0,100.0,0.0,11620.0,11324.0,296.0,94.88060326770004,99.66329966329967,4.782696395599629,38.25675675675676
96.0,123.0,123.0,0.0,100.0,0.0,11743.0,11447.0,296.0,95.91118558860494,99.66329966329967,3.752114074694731,38.6722972972973
97.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,11865.0,11568.0,297.0,96.92501047339756,100.0,3.0749895266024367,38.94949494949495
98.0,122.0,122.0,0.0,100.0,0.0,11987.0,11690.0,297.0,97.94721407624634,100.0,2.0527859237536603,39.36026936026936
99.0,123.0,123.0,0.0,100.0,0.0,12110.0,11813.0,297.0,98.97779639715124,100.0,1.0222036028487622,39.774410774410775
100.0,122.0,122.0,0.0,100.0,0.0,12232.0,11935.0,297.0,100.0,100.0,0.0,40.18518518518518
